OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID
ORD0050001,18-03-2021,CUST003820,Priya Kumar,P00008,4K Monitor,Electronics,Apex,3,155.6,0.1,21.01,12.52,453.65,Amazon Pay,Delivered,Los Angeles,CA,United States,SELL01368
ORD0050002,23-08-2021,CUST004606,Rohit Mehta,P00005,Laptop Sleeve,Home & Kitchen,NexPro,2,212.42,0.05,32.29,7.9,443.79,Cash on Delivery,Returned,Chicago,IL,United States,SELL01037
ORD0050003,23-01-2023,CUST028633,Vihaan Mehta,P00038,External HDD 2TB,Toys & Games,Zenith,3,441.97,0.1,95.47,13.6,1302.39,Amazon Pay,Shipped,Phoenix,AZ,United Kingdom,SELL01542
ORD0050004,31-01-2022,CUST032895,Aarav Mehta,P00045,Phone Tripod,Clothing,KiddoFun,1,19.54,0.05,0.93,7.46,26.95,Debit Card,Delivered,Indianapolis,IN,United States,SELL01392
ORD0050005,12-08-2022,CUST039996,Rohit Sharma,P00050,Novel Bestseller,Books,HomeEase,5,151.41,0.0,136.27,12.1,905.42,UPI,Delivered,Fort Worth,TX,United States,SELL00268
ORD0050006,14-01-2024,CUST031764,Mohit Patel,P00025,Running Shoes,Clothing,Apex,3,72.1,0.15,14.71,9.8,208.36,UPI,Delivered,Los Angeles,CA,United States,SELL01925
ORD0050007,02-09-2023,CUST022995,Sahil Kumar,P00018,Vacuum Cleaner,Electronics,BrightLux,1,563.88,0.15,57.52,4.18,541.0,Amazon Pay,Delivered,San Antonio,TX,India,SELL00441
ORD0050008,01-05-2021,CUST012390,Sunita Mehta,P00049,Children's Book,Electronics,CoreTech,4,110.71,0.3,15.5,3.72,329.21,Credit Card,Shipped,Los Angeles,CA,United States,SELL01355
ORD0050009,28-08-2024,CUST017636,Sahil Singh,P00018,Vacuum Cleaner,Toys & Games,Zenith,3,535.82,0.15,245.94,9.2,1621.48,Credit Card,Delivered,Los Angeles,CA,United States,SELL01495
ORD0050010,08-01-2022,CUST043888,Priya Sharma,P00036,Smart Light Bulb,Sports & Outdoors,CoreTech,2,128.76,0.3,9.01,12.66,201.93,Credit Card,Delivered,Seattle,WA,United States,SELL01964
ORD0050011,09-10-2021,CUST025550,Sunita Kumar,P00009,Portable SSD 1TB,Books,CoreTech,1,156.13,0.0,0.0,7.0,163.13,UPI,Delivered,Philadelphia,PA,United States,SELL01480
ORD0050012,14-06-2022,CUST030626,Aman Kumar,P00034,Desk Organizer,Books,UrbanStyle,4,451.89,0.0,144.6,7.53,1959.69,Cash on Delivery,Delivered,Chicago,IL,United States,SELL00557
ORD0050013,19-05-2024,CUST022314,Priya Mehta,P00007,Mechanical Keyboard,Toys & Games,BrightLux,4,265.03,0.2,67.85,8.1,924.05,Credit Card,Delivered,Jacksonville,FL,United States,SELL01090
ORD0050014,05-01-2020,CUST043307,Karan Verma,P00008,4K Monitor,Home & Kitchen,UrbanStyle,2,132.73,0.0,21.24,7.39,294.09,Credit Card,Returned,Dallas,TX,United States,SELL01788
ORD0050015,23-09-2021,CUST014046,Vihaan Joshi,P00037,Router,Sports & Outdoors,HomeEase,1,125.69,0.05,14.33,5.99,139.73,Amazon Pay,Shipped,New York,NY,India,SELL01584
ORD0050016,26-10-2023,CUST004661,Priya Kapoor,P00030,Dress Shirt,Sports & Outdoors,HomeEase,2,440.64,0.25,52.88,6.31,720.15,Debit Card,Delivered,Chicago,IL,United States,SELL00240
ORD0050017,20-10-2024,CUST028396,Vikas Kumar,P00010,Smartwatch,Toys & Games,CoreTech,5,272.49,0.1,61.31,1.74,1289.26,Credit Card,Delivered,San Antonio,TX,Canada,SELL01346
ORD0050018,26-05-2022,CUST041154,Aman Joshi,P00025,Running Shoes,Books,Zenith,2,571.22,0.0,57.12,1.7,1201.26,Debit Card,Delivered,Indianapolis,IN,United States,SELL01196
