OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID
ORD0030001,21-08-2023,CUST039978,Vihaan Kapoor,P00004,USB-C Charger,Electronics,HomeEase,5,78.73,0.05,18.7,3.75,396.42,Net Banking,Pending,San Francisco,CA,United States,SELL01523
ORD0030002,30-09-2023,CUST045768,Sahil Mehta,P00040,Microphone,Clothing,Apex,3,574.18,0.05,0.0,1.94,1638.35,Debit Card,Delivered,San Jose,CA,Canada,SELL01647
ORD0030003,23-07-2024,CUST008381,Sunita Verma,P00014,Drone Mini,Books,CoreTech,5,304.65,0.0,121.86,3.08,1648.19,Credit Card,Delivered,Indianapolis,IN,India,SELL00783
ORD0030004,18-10-2024,CUST033823,Rohit Singh,P00048,Wireless Charger,Toys & Games,CoreTech,4,184.77,0.2,47.3,8.9,647.46,UPI,Delivered,Charlotte,NC,United States,SELL01422
ORD0030005,03-11-2022,CUST001466,Ritika Gupta,P00025,Running Shoes,Books,ReadMore,5,86.15,0.0,21.54,4.69,456.98,Net Banking,Delivered,Seattle,WA,United States,SELL01816
ORD0030006,14-10-2023,CUST019303,Aarav Mehta,P00010,Smartwatch,Toys & Games,UrbanStyle,2,337.28,0.15,45.87,11.29,630.54,Amazon Pay,Delivered,Phoenix,AZ,Australia,SELL00274
ORD0030007,11-01-2021,CUST027936,Sneha Patel,P00025,Running Shoes,Electronics,KiddoFun,1,187.49,0.1,30.37,7.98,207.09,Debit Card,Delivered,Dallas,TX,United States,SELL01445
ORD0030008,30-08-2020,CUST019845,Neha Singh,P00030,Dress Shirt,Clothing,KiddoFun,5,190.88,0.1,42.95,2.39,904.3,Debit Card,Delivered,Los Angeles,CA,United States,SELL01065
ORD0030009,19-09-2022,CUST007135,Pooja Joshi,P00043,HDMI Cable 2m,Home & Kitchen,NexPro,4,373.0,0.05,113.39,6.35,1537.14,Credit Card,Delivered,Seattle,WA,United States,SELL00587
ORD0030010,14-03-2023,CUST018421,Sunita Kumar,P00038,External HDD 2TB,Books,HomeEase,5,365.7,0.0,91.43,1.44,1921.37,Amazon Pay,Delivered,San Francisco,CA,India,SELL00761
ORD0030011,09-06-2022,CUST017029,Kabir Reddy,P00047,Memory Card 128GB,Clothing,ReadMore,4,143.04,0.2,22.89,0.15,480.77,Debit Card,Delivered,Washington,DC,United States,SELL01529
ORD0030012,18-02-2021,CUST004166,Vikas Joshi,P00026,Sunglasses,Books,BrightLux,1,85.79,0.0,6.86,6.99,99.64,Debit Card,Returned,Los Angeles,CA,United States,SELL00807
ORD0030013,28-01-2021,CUST021311,Arjun Mehta,P00005,Laptop Sleeve,Home & Kitchen,Zenith,1,402.92,0.0,20.15,9.69,432.76,Debit Card,Shipped,San Jose,CA,United States,SELL01238
ORD0030014,26-06-2024,CUST047626,Aman Patel,P00004,USB-C Charger,Sports & Outdoors,NexPro,5,132.3,0.1,71.44,12.75,679.54,Debit Card,Delivered,Los Angeles,CA,United Kingdom,SELL01408
ORD0030015,29-12-2021,CUST018158,Vivaan Sharma,P00004,USB-C Charger,Books,CoreTech,2,79.69,0.0,19.13,7.78,186.29,Amazon Pay,Delivered,Los Angeles,CA,United States,SELL00125
ORD0030016,23-12-2020,CUST022206,Simran Singh,P00009,Portable SSD 1TB,Sports & Outdoors,UrbanStyle,1,373.21,0.0,29.86,5.62,408.69,Amazon Pay,Delivered,Jacksonville,FL,United States,SELL00928
ORD0030017,18-05-2024,CUST026408,Sahil Gupta,P00036,Smart Light Bulb,Clothing,KiddoFun,1,419.33,0.25,37.74,2.83,355.07,Credit Card,Delivered,Charlotte,NC,Canada,SELL00707
ORD0030018,27-03-2023,CUST044134,Sneha Reddy,P00044,Power Bank 20000mAh,Sports & Outdoors,FitLife,1,387.74,0.2,15.51,14.43,340.13,Credit Card,Delivered,San Jose,CA,United States,SELL00878
ORD0030019,04-11-2021,CUST012009,Vikas Reddy,P00006,Gaming Mouse,Books,CoreTech,3,520.03,0.1,112.33,13.81,1530.22,Amazon Pay,Shipped,Denver,CO,United States,SELL01513
ORD0030020,18-01-2020,CUST012719,Aarav Sharma,P00041,Webcam Full HD,Electronics,NexPro,3,144.9,0.0,34.78,5.67,475.15,Net Banking,Shipped,Austin,TX,United States,SELL00921
