OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID
ORD0065001,30-04-2022,CUST047426,Aditya Gupta,P00019,LED Desk Lamp,Clothing,HomeEase,3,215.41,0.0,32.31,14.33,692.87,Amazon Pay,Delivered,Columbus,OH,India,SELL00874
ORD0065002,04-01-2024,CUST041648,Aman Verma,P00026,Sunglasses,Electronics,ReadMore,3,169.54,0.0,25.43,7.67,541.72,Net Banking,Returned,Philadelphia,PA,United States,SELL00226
ORD0065003,31-07-2023,CUST010294,Sahil Verma,P00028,Jeans,Books,BrightLux,5,336.1,0.1,0.0,6.06,1518.51,Credit Card,Shipped,Houston,TX,United States,SELL00838
ORD0065004,23-02-2022,CUST030339,Priya Joshi,P00010,Smartwatch,Sports & Outdoors,HomeEase,5,257.39,0.15,131.27,13.98,1239.16,Debit Card,Shipped,Dallas,TX,United States,SELL01688
ORD0065005,17-06-2021,CUST003862,Ritika Singh,P00026,Sunglasses,Toys & Games,HomeEase,4,75.71,0.15,46.33,11.92,315.66,Credit Card,Delivered,Seattle,WA,United States,SELL00724
ORD0065006,03-01-2021,CUST005582,Arjun Verma,P00044,Power Bank 20000mAh,Sports & Outdoors,Zenith,4,345.36,0.0,69.07,3.2,1453.71,Credit Card,Delivered,Chicago,IL,United States,SELL00278
ORD0065007,29-11-2021,CUST038221,Karan Sharma,P00039,Graphic Tablet,Sports & Outdoors,Apex,4,201.86,0.15,123.54,8.92,818.78,Credit Card,Delivered,San Francisco,CA,United States,SELL00182
ORD0065008,08-10-2024,CUST006071,Vivaan Kapoor,P00038,External HDD 2TB,Books,KiddoFun,1,299.62,0.0,53.93,8.38,361.93,Debit Card,Shipped,Dallas,TX,United States,SELL01426
ORD0065009,09-08-2024,CUST037136,Vivaan Sharma,P00010,Smartwatch,Home & Kitchen,UrbanStyle,3,525.17,0.2,151.25,13.51,1425.17,Credit Card,Delivered,Charlotte,NC,United Kingdom,SELL00950
ORD0065010,27-02-2024,CUST006540,Vivaan Kumar,P00031,Kids Toy Car,Sports & Outdoors,ReadMore,2,533.85,0.0,128.12,2.38,1198.2,Credit Card,Shipped,Chicago,IL,Canada,SELL00134
